course_id,academic_year,semester,department,course_name,section,professor,credits,core,category,time_slot,campus,classroom,capacity,source,rating,workload_label,teamwork_load_label,grading_strictness_label
CSE3036,2026,1,소프트웨어학과,컴퓨터공학세미나,41,이종욱,1,false,전공심화,Mon 15:00-15:50;Wed 17:00-17:50,자연과학캠퍼스,,,SKKU kingoinfo 학사-전공과목,4.97,3.0,5.0,4.52
ECE4272,2026,1,소프트웨어학과,심화융합캡스톤디자인,41,조준동,3,false,전공(대학원),Mon 15:00-16:15;Mon 16:30-17:45,자연과학캠퍼스,21121,,SKKU kingoinfo 학사-전공과목,4.67,3.0,3.0,3.0
EEE2008,2026,1,소프트웨어학과,신호및시스템,41,신지태,3,false,전공심화,Wed 13:30-14:45,자연과학캠퍼스,21514,,SKKU kingoinfo 학사-전공과목,3.44,2.54,4.42,3.4
EEE2008,2026,1,소프트웨어학과,신호및시스템,42,이태진,3,false,전공심화,Mon 12:00-13:15;Wed 13:30-14:45,자연과학캠퍼스,21534,,SKKU kingoinfo 학사-전공과목,3.68,2.56,4.62,3.32
EEE2008,2026,1,소프트웨어학과,신호및시스템,43,전병우,3,false,전공심화,Mon 12:00-13:15;Wed 13:30-14:45,자연과학캠퍼스,22211,,SKKU kingoinfo 학사-전공과목,3.94,2.46,4.62,3.38
EEE2008,2026,1,소프트웨어학과,신호및시스템,44,정민영,3,false,전공심화,Mon 12:00-13:15;Wed 13:30-14:45,자연과학캠퍼스,22410,,SKKU kingoinfo 학사-전공과목,4.1,2.8,4.74,3.34
EEE2008,2026,1,소프트웨어학과,신호및시스템,45,김중규,3,false,전공심화,Mon 12:00-13:15;Wed 13:30-14:45,자연과학캠퍼스,22409,,SKKU kingoinfo 학사-전공과목,4.57,2.0,4.76,3.94
EEE3012,2026,1,소프트웨어학과,디지털통신,41,서효운,3,false,전공심화,Tue 13:30-14:45,자연과학캠퍼스,22312,,SKKU kingoinfo 학사-전공과목,4.77,4.54,5.0,4.7
EEE3024,2026,1,소프트웨어학과,제어공학기초,41,국태용,3,false,전공심화,Tue 13:30-14:45;Thu 12:00-13:15,자연과학캠퍼스,85712,,SKKU kingoinfo 학사-전공과목,2.73,4.68,4.84,4.04
EEE3024,2026,1,소프트웨어학과,제어공학기초,42,박종구,3,false,전공심화,Tue 15:00-16:15;Thu 16:30-17:45,자연과학캠퍼스,85718,,SKKU kingoinfo 학사-전공과목,4.68,1.98,4.8,4.16
EEE3024,2026,1,소프트웨어학과,제어공학기초,43,유관호,3,false,전공심화,Mon 13:30-14:45,자연과학캠퍼스,22410,,SKKU kingoinfo 학사-전공과목,4.04,2.41,4.74,3.06
EEE3032,2026,1,소프트웨어학과,통신시스템,41,정민영,3,false,전공심화,Tue 12:00-13:15;Thu 13:30-14:45,자연과학캠퍼스,22211,,SKKU kingoinfo 학사-전공과목,5.0,3.0,3.0,3.0
EME2009,2026,1,소프트웨어학과,동역학,41,휴고로드리그,3,false,전공심화,Tue 16:30-17:45;Thu 15:00-16:15,자연과학캠퍼스,22312,,SKKU kingoinfo 학사-전공과목,4.54,2.9,4.62,4.2
EME3068,2026,1,소프트웨어학과,스마트카융합종합설계,41,황성호,3,false,실험실습,Tue 15:00-15:50;Tue 16:00-16:50;Tue 17:00-17:50;Tue 18:00-18:50;Tue 19:00-19:50;Tue 20:00-20:50,자연과학캠퍼스,22301,,SKKU kingoinfo 학사-전공과목,2.72,3.28,1.42,3.63
ERC2008,2026,1,소프트웨어학과,기술경영개론,41,조근태,3,false,전공심화,Fri 15:00-16:15;Fri 16:30-17:45,자연과학캠퍼스,26421,,SKKU kingoinfo 학사-전공과목,4.34,1.91,4.82,3.3
ERC2008,2026,1,소프트웨어학과,기술경영개론,42,조근태,3,false,전공심화,Fri 12:00-13:15;Fri 13:30-14:45,자연과학캠퍼스,,,SKKU kingoinfo 학사-전공과목,4.34,1.91,4.82,3.3
ESM3019,2026,1,소프트웨어학과,생산관리,41,권대일,3,false,전공심화,Mon 10:30-11:45,자연과학캠퍼스,26108,,SKKU kingoinfo 학사-전공과목,4.08,2.8,4.5,3.3
ESM3061,2026,1,소프트웨어학과,데이터마이닝,41,이수지,3,false,전공심화,Tue 13:30-14:45;Thu 12:00-13:15,자연과학캠퍼스,,,SKKU kingoinfo 학사-전공과목,4.88,3.04,4.94,4.36
ESM3074,2026,1,소프트웨어학과,차세대컴퓨터인터페이스설계,41,이성일,3,false,전공심화,Tue 15:00-16:15,자연과학캠퍼스,26421,,SKKU kingoinfo 학사-전공과목,4.63,3.28,3.83,3.94
ESW4004,2026,1,소프트웨어학과,분산컴퓨팅원론,41,남범석,3,false,전공(대학원),Tue 12:00-13:15;Thu 13:30-14:45,자연과학캠퍼스,48B115,,SKKU kingoinfo 학사-전공과목,4.67,3.0,3.0,3.0
ESW4014,2026,1,소프트웨어학과,강화학습개론,41,우홍욱,3,false,전공(대학원),Mon 12:00-13:15;Mon 13:30-14:45,자연과학캠퍼스,85602,,SKKU kingoinfo 학사-전공과목,4.0,3.0,3.0,3.0
ESW7004,2026,1,소프트웨어학과,AI및데이터기밀연산특론,41,우사이먼성일,3,false,전공(대학원),Thu 18:00-19:15,자연과학캠퍼스,85613,,SKKU kingoinfo 학사-전공과목,3.0,3.0,3.0,3.0
ICE2001,2026,1,소프트웨어학과,논리회로,41,박준은,3,false,전공심화,Wed 10:30-11:45,자연과학캠퍼스,85702,,SKKU kingoinfo 학사-전공과목,4.74,4.43,5.0,4.2
