review_id,source_url,lecture_id,course_name,professor,semester,rating,raw_review_text
mock-CSE203-001,https://everytime.kr/lecture/view/mock-CSE203,mock-CSE203,운영체제,,26년 1학기 수강자,3,개념은 중요하지만 시험 범위가 넓고 과제가 꾸준해서 어렵습니다
mock-CSE203-002,https://everytime.kr/lecture/view/mock-CSE203,mock-CSE203,운영체제,,26년 1학기 수강자,4,프로세스와 메모리 파트가 빡세지만 수업을 따라가면 배울 것은 많습니다
mock-CSE203-003,https://everytime.kr/lecture/view/mock-CSE203,mock-CSE203,운영체제,,25년 2학기 수강자,2,과제 난이도가 높고 디버깅 시간이 많이 들어서 부담이 큽니다
mock-CSE203-004,https://everytime.kr/lecture/view/mock-CSE203,mock-CSE203,운영체제,,25년 2학기 수강자,3,시험이 어렵고 암기보다 이해가 필요해서 준비 시간이 길었습니다
mock-CSE203-005,https://everytime.kr/lecture/view/mock-CSE203,mock-CSE203,운영체제,,25년 1학기 수강자,4,프로젝트는 없지만 매주 복습해야 해서 공부량은 많은 편입니다
mock-CSE203-006,https://everytime.kr/lecture/view/mock-CSE203,mock-CSE203,운영체제,,25년 1학기 수강자,2,중간 이후 내용이 갑자기 어려워지고 과제도 빡셉니다
mock-CSE203-007,https://everytime.kr/lecture/view/mock-CSE203,mock-CSE203,운영체제,,24년 2학기 수강자,3,강의는 체계적이지만 시험 문제가 까다로워서 만만하지 않습니다
mock-CSE203-008,https://everytime.kr/lecture/view/mock-CSE203,mock-CSE203,운영체제,,24년 2학기 수강자,4,과제 수는 적당하지만 하나하나 시간이 오래 걸립니다
mock-CSE203-009,https://everytime.kr/lecture/view/mock-CSE203,mock-CSE203,운영체제,,24년 1학기 수강자,3,운영체제 기본기를 잡기 좋지만 쉬운 수업은 아닙니다
mock-CSE203-010,https://everytime.kr/lecture/view/mock-CSE203,mock-CSE203,운영체제,,24년 1학기 수강자,2,시험이 어렵고 학점도 후하지 않아서 열심히 해야 합니다
mock-CSE204-001,https://everytime.kr/lecture/view/mock-CSE204,mock-CSE204,데이터베이스,,26년 1학기 수강자,4,SQL 실습이 많지만 난이도는 무난하고 과제량도 적당합니다
mock-CSE204-002,https://everytime.kr/lecture/view/mock-CSE204,mock-CSE204,데이터베이스,,26년 1학기 수강자,5,수업 자료가 깔끔하고 시험도 강의 내용 위주라 할만합니다
