param_id,ngram_range,min_df,max_features,lr,hidden_dim,dropout,cv_MAE_mean,cv_MAE_std
15,"(1, 2)",1,5000,0.001,64,0.5,0.4989914417266846,0.024612089129242603
10,"(1, 2)",1,5000,0.001,64,0.3,0.5017665565013886,0.025479387951464903
6,"(1, 2)",2,5000,0.0005,128,0.5,0.5022296369075775,0.022938029566763798
7,"(1, 2)",1,5000,0.0005,32,0.3,0.507314282655716,0.019696904893289176
4,"(1, 1)",3,5000,0.001,128,0.5,0.5086649298667908,0.02417831760408266
12,"(1, 1)",2,5000,0.001,32,0.3,0.5090671658515931,0.022217635672981087
3,"(1, 2)",3,5000,0.0003,64,0.5,0.5091651916503906,0.018587822958251305
13,"(1, 1)",1,5000,0.0003,128,0.5,0.5098347723484039,0.024641552153598003
8,"(1, 2)",2,3000,0.001,64,0.3,0.5102476239204407,0.021375642530926574
16,"(1, 2)",2,5000,0.0003,64,0.5,0.5110703945159912,0.0176173868142906
11,"(1, 2)",2,3000,0.001,32,0.1,0.5121295511722564,0.023465453379314997
9,"(1, 1)",2,5000,0.0003,64,0.1,0.5161558628082276,0.022414851918670688
1,"(1, 1)",1,3000,0.0003,64,0.5,0.5162890613079071,0.01683495348196334
2,"(1, 1)",3,3000,0.0003,64,0.3,0.517098891735077,0.016474147233900102
14,"(1, 2)",1,1000,0.001,32,0.5,0.5226316690444947,0.021523493695289293
5,"(1, 1)",3,1000,0.0003,32,0.5,0.5564109444618225,0.010387010920620696
