fold,target,model,mae,rmse,pearson_r
1,workload_label,baseline,0.5896145105361938,0.7953253244741286,
1,teamwork_load_label,baseline,1.090718150138855,1.2081205027141826,
1,grading_strictness_label,baseline,0.46679264307022095,0.541362637391234,
1,average,baseline,0.7157084941864014,0.8916596877338943,0.30719608068466187
1,workload_label,tfidf_mlp,0.4471147060394287,0.589329628113208,0.6815706491470337
1,teamwork_load_label,tfidf_mlp,0.6986284852027893,0.8727763394719551,0.7349426746368408
1,grading_strictness_label,tfidf_mlp,0.4280798137187958,0.5388394599243345,0.2873181104660034
1,average,tfidf_mlp,0.5246076583862305,0.6829826457247025,0.6891928315162659
2,workload_label,baseline,0.6640011072158813,0.8672877760638072,
2,teamwork_load_label,baseline,1.0253615379333496,1.1504793764344023,
2,grading_strictness_label,baseline,0.47815075516700745,0.5614026545115636,
2,average,baseline,0.7225043773651123,0.8927417830465899,0.36867621541023254
2,workload_label,tfidf_mlp,0.4494647979736328,0.5761918145301759,0.7707518935203552
2,teamwork_load_label,tfidf_mlp,0.6294550895690918,0.7827180420922646,0.7555170059204102
2,grading_strictness_label,tfidf_mlp,0.3768802881240845,0.4773822363089988,0.5415720343589783
2,average,tfidf_mlp,0.4852667450904846,0.6251769053911373,0.771577000617981
3,workload_label,baseline,0.5736356377601624,0.7489100324382806,
3,teamwork_load_label,baseline,1.0056487321853638,1.1346164414899498,
3,grading_strictness_label,baseline,0.44813305139541626,0.5502335009391242,
3,average,baseline,0.6758058071136475,0.8467540950265035,0.30241742730140686
3,workload_label,tfidf_mlp,0.4453694224357605,0.5715818258181199,0.6494196653366089
3,teamwork_load_label,tfidf_mlp,0.720136284828186,0.8456233738039878,0.6752540469169617
3,grading_strictness_label,tfidf_mlp,0.3982250988483429,0.5048417862358378,0.48310568928718567
3,average,tfidf_mlp,0.5212436318397522,0.6574318779078421,0.6776396632194519
4,workload_label,baseline,0.5138170719146729,0.6907234484208088,
4,teamwork_load_label,baseline,1.0785841941833496,1.221599719558139,
4,grading_strictness_label,baseline,0.4826304018497467,0.5558401408724669,
4,average,baseline,0.6916772127151489,0.8714667577942019,0.3375576138496399
4,workload_label,tfidf_mlp,0.40466877818107605,0.5623728290489673,0.5922365784645081
4,teamwork_load_label,tfidf_mlp,0.7216031551361084,0.8570798222036093,0.7533853054046631
4,grading_strictness_label,tfidf_mlp,0.4535752832889557,0.5819976336096802,0.23130068182945251
4,average,tfidf_mlp,0.5266156792640686,0.6805806923027948,0.6880650520324707
5,workload_label,baseline,0.5935147404670715,0.7637890191732475,
5,teamwork_load_label,baseline,0.9369513392448425,1.0799397109122908,
5,grading_strictness_label,baseline,0.5209524035453796,0.6043151448304677,
5,average,baseline,0.6838061809539795,0.8396111454549687,0.4117431640625
5,workload_label,tfidf_mlp,0.4511372447013855,0.5860217224625706,0.645625114440918
5,teamwork_load_label,tfidf_mlp,0.5831186175346375,0.6919735020142411,0.7827948927879333
5,grading_strictness_label,tfidf_mlp,0.4304993152618408,0.5320145490940724,0.4974256753921509
5,average,tfidf_mlp,0.4882517158985138,0.6069838732442074,0.7565527558326721
