param_id,ngram_range,min_df,max_features,lr,hidden_dim,dropout,cv_MAE_mean,cv_MAE_std
6,"(1, 2)",2,5000,0.0005,128,0.5,0.5046302795410156,0.020005588422249733
4,"(1, 1)",3,5000,0.001,128,0.5,0.50471813082695,0.022116228061232576
15,"(1, 2)",1,5000,0.001,64,0.5,0.5069060862064362,0.02018067517664194
13,"(1, 1)",1,5000,0.0003,128,0.5,0.5085926413536072,0.02124113081393635
10,"(1, 2)",1,5000,0.001,64,0.3,0.5086098313331604,0.01961544336172578
12,"(1, 1)",2,5000,0.001,32,0.3,0.5102156281471253,0.02219175234086456
7,"(1, 2)",1,5000,0.0005,32,0.3,0.5121552884578705,0.02020148103967942
16,"(1, 2)",2,5000,0.0003,64,0.5,0.5135547697544098,0.015248261946655786
3,"(1, 2)",3,5000,0.0003,64,0.5,0.5137094855308533,0.017081254602018682
8,"(1, 2)",2,3000,0.001,64,0.3,0.513777369260788,0.018901360055975435
14,"(1, 2)",1,1000,0.001,32,0.5,0.51544269323349,0.027259196813409416
11,"(1, 2)",2,3000,0.001,32,0.1,0.5161818206310272,0.01894622284970287
9,"(1, 1)",2,5000,0.0003,64,0.1,0.518563187122345,0.01873534311642147
1,"(1, 1)",1,3000,0.0003,64,0.5,0.5218374311923981,0.022546247362797377
2,"(1, 1)",3,3000,0.0003,64,0.3,0.5219372034072876,0.022258742979600142
5,"(1, 1)",3,1000,0.0003,32,0.5,0.557097852230072,0.017030778705878005
